iter	Passed	Remaining
203	484	1890
204	487	1890
205	489	1887
206	490	1880
207	492	1873
208	493	1868
209	495	1862
210	497	1859
211	498	1853
212	500	1847
213	501	1842
214	503	1837
215	505	1833
216	508	1834
217	510	1830
218	513	1832
219	526	1866
220	529	1866
221	532	1865
222	534	1863
223	536	1858
224	538	1853
225	539	1848
226	542	1845
227	546	1849
228	551	1857
229	553	1851
230	554	1846
231	556	1840
232	557	1834
233	559	1830
234	560	1826
235	562	1820
236	563	1814
237	564	1808
238	566	1805
239	568	1799
240	569	1794
241	571	1788
242	572	1783
243	574	1780
244	576	1776
245	580	1778
246	582	1775
247	583	1770
248	585	1764
249	586	1758
250	587	1752
251	588	1747
252	589	1741
253	591	1735
254	592	1730
255	593	1725
256	595	1722
257	599	1724
258	601	1721
259	603	1717
260	605	1713
261	606	1708
262	607	1702
263	608	1696
264	610	1693
265	611	1688
266	613	1683
267	614	1678
268	615	1673
269	616	1667
270	618	1662
271	619	1658
272	621	1655
273	624	1654
274	625	1649
275	626	1644
276	628	1639
277	629	1633
278	630	1628
279	631	1624
280	633	1619
281	635	1618
282	639	1619
283	640	1614
284	641	1609
285	642	1603
286	643	1598
287	644	1593
288	645	1588
289	646	1583
290	647	1578
291	649	1574
292	651	1571
293	652	1566
294	653	1561
295	654	1557
296	655	1552
297	656	1547
298	657	1542
299	659	1537
300	660	1534
301	661	1529
302	663	1525
303	665	1523
304	668	1522
305	670	1521
306	672	1518
307	674	1514
308	675	1511
309	677	1507
310	678	1503
311	681	1503
312	684	1501
313	685	1498
314	687	1494
315	688	1490
316	689	1486
317	691	1482
318	692	1479
319	695	1478
320	697	1474
321	699	1472
322	701	1469
323	703	1468
324	706	1467
325	708	1465
326	710	1462
327	712	1460
328	715	1459
329	717	1456
330	719	1453
331	720	1450
332	723	1448
333	727	1450
334	731	1451
335	732	1447
336	734	1444
337	735	1440
338	737	1437
339	739	1436
340	742	1435
341	744	1431
342	745	1427
343	746	14233344	748	14203345	749	14163346	750	14123347	752	14093348	753	14053349	754	1401350	795	1470
3351	760	1399352	801	1468
353	803	1465
354	805	1462
355	806	1458
356	807	1455
357	810	1452
358	812	1450
359	814	1448
360	816	1444
361	818	1441
362	820	1440
363	823	1438
364	826	1438
365	828	1435
366	831	1433
3367	795	13663368	800	13683369	802	13663370	805	13643371	807	13633372	809	13613373	811	1357374	850	1418
375	852	1414
376	854	1411
377	856	1410
378	858	1407
379	861	1406
380	863	1403
381	865	1399
382	866	1395
383	867	1392
384	869	1388
385	871	1386
386	873	1383
387	874	1379
388	875	1375
389	877	1372
390	879	1369
391	880	1365
392	881	1362
393	883	1358
394	885	1355
395	887	1353
396	889	1351
397	893	1351
398	895	1348
399	896	1344
400	898	1341
401	899	1338
402	902	1336
403	904	1334
404	906	1331
405	908	1328
406	909	1324
407	910	1321
408	912	1317
409	913	1315
410	915	1311
411	917	1309
412	919	1306
413	920	1303
414	922	1300
415	923	1296
416	924	1293
417	926	1289
418	927	1286
419	929	1283
420	930	1280
421	932	1277
422	934	1275
423	937	1273
424	939	1271
425	942	1269
426	944	1267
427	946	1264
428	949	1263
429	952	1262
430	954	1259
431	955	1256
432	956	1253
433	958	1249
434	959	1245
435	960	1242
436	961	1239
437	965	1238
438	966	1235
439	968	1232
440	969	1229
441	970	1225
442	972	1222
443	973	1219
444	975	1216
445	977	1213
446	979	1211
447	980	1208
448	983	1207
449	986	1205
450	987	1202
451	988	1198
452	990	1196
453	991	1193
454	994	1190
455	996	1188
456	998	1186
457	999	1183
458	1001	1180
459	1002	1177
460	1004	1174
461	1006	1172
462	1008	1169
463	1009	1166
464	1011	1163
465	1012	1160
466	1013	1157
467	1015	1154
468	1016	1151
469	1018	1148
470	1019	1145
471	1020	1142
472	1022	1138
473	1023	1135
474	1025	1133
475	1026	1130
476	1028	1127
477	1029	1124
478	1032	1122
479	1035	1122
480	1037	1119
481	1038	1116
482	1041	1114
483	1043	1112
484	1045	1110
485	1047	1107
486	1048	1104
487	1050	1101
488	1051	1098
489	1052	1095
490	1054	1093
491	1056	1090
492	1057	1087
493	1058	1084
494	1060	1081
495	1061	1078
496	1079	1092
497	1081	1089
498	1082	1087
499	1084	1084
500	1085	1081
501	1087	1079
502	1090	1077
503	1092	1075
504	1093	1072
505	1095	1069
506	1096	1066
507	1097	1063
508	1099	1060
509	1101	1057
510	1103	1055
511	1104	1052
512	1105	1049
513	1107	1046
514	1108	1043
515	1109	1040
516	1110	1037
517	1112	1034
518	1113	1031
519	1114	1029
520	1116	1026
521	1117	1023
522	1118	1020
523	1120	1017
524	1123	1016
525	1125	1014
526	1128	1012
527	1130	1010
528	1131	1007
529	1132	1004
530	1135	1003
531	1138	1001
532	1140	999
533	1141	996
534	1142	993
535	1144	990
536	1145	987
537	1146	984
538	1148	982
539	1151	980
540	1152	977
541	1153	974
542	1154	971
543	1156	969
544	1157	966
545	1158	963
546	1160	960
547	1161	958
548	1165	957
549	1167	955
550	1170	954
551	1172	951
552	1174	949
553	1175	946
554	1177	943
555	1179	941
556	1181	939
557	1183	937
558	1184	934
559	1186	932
560	1187	929
561	1188	926
562	1190	924
563	1192	921
564	1193	919
565	1195	916
566	1196	913
567	1197	911
568	1198	908
569	1199	905
570	1200	902
571	1201	899
572	1202	896
573	1203	893
574	1206	891
575	1210	890
576	1215	891
577	1220	891
578	1224	890
579	1226	888
580	1230	887
581	1231	884
582	1236	884
583	1239	882
584	1240	880
585	1243	878
586	1244	875
587	1246	873
588	1248	870
589	1249	868
590	1250	865
591	1252	862
592	1255	861
593	1258	859
594	1260	858
595	1265	857
596	1266	855
597	1267	852
598	1270	850
599	1272	848
600	1274	846
601	1276	843
602	1278	841
603	1279	838
604	1281	836
605	1282	834
606	1285	832
607	1286	829
608	1288	827
609	1289	824
610	1291	822
611	1293	819
612	1294	817
613	1296	814
614	1297	812
615	1299	809
616	1300	807
617	1303	805
618	1306	804
619	1308	802
620	1310	799
621	1311	797
622	1313	794
623	1315	792
624	1318	790
625	1320	788
626	1322	786
627	1325	785
628	1328	783
629	1331	782
630	1334	780
631	1336	778
632	1337	775
633	1339	773
634	1340	770
635	1341	767
636	1343	765
637	1344	762
638	1348	761
639	1350	759
640	1353	758
641	1355	756
642	1357	753
643	1358	751
644	1360	748
645	1362	746
646	1364	744
647	1366	742
648	1368	739
649	1369	737
650	1370	734
651	1372	732
652	1374	730
653	1376	728
654	1378	725
655	1379	723
656	1381	721
657	1382	718
658	1384	716
659	1385	713
660	1386	711
661	1388	708
662	1389	706
663	1390	703
664	1392	701
665	1395	699
666	1398	698
667	1400	696
668	1402	693
669	1403	691
670	1405	689
671	1407	686
672	1409	685
673	1411	682
674	1412	680
675	1414	677
676	1417	676
677	1420	674
678	1423	672
679	1426	671
680	1427	668
681	1428	666
682	1430	663
683	1431	661
684	1432	658
685	1434	656
686	1435	654
687	1437	651
688	1440	650
689	1443	648
690	1445	646
691	1448	644
692	1449	642
693	1450	639
694	1452	637
695	1454	635
696	1456	633
697	1458	631
698	1459	628
699	1461	626
700	1462	623
701	1464	621
702	1466	619
703	1468	617
704	1469	615
705	1471	612
706	1472	610
707	1473	607
708	1474	605
709	1476	602
710	1477	600
711	1478	598
712	1480	595
713	1481	593
714	1483	591
715	1484	588
716	1487	587
717	1490	585
718	1492	583
719	1493	580
720	1495	578
721	1496	576
722	1497	573
723	1500	572
724	1503	570
725	1506	568
726	1507	566
727	1509	563
728	1510	561
729	1511	559
730	1512	556
731	1514	554
732	1515	552
733	1517	549
734	1519	547
735	1522	546
736	1524	544
737	1527	542
738	1529	540
739	1530	537
740	1533	535
741	1535	534
742	1537	531
743	1539	529
744	1540	527
745	1542	525
746	1543	522
747	1545	520
748	1549	519
749	1550	516
750	1552	514
751	1553	512
752	1554	510
753	1557	508
754	1558	505
755	1560	503
756	1561	501
757	1563	499
758	1564	496
759	1565	494
760	1567	492
761	1568	489
762	1569	487
763	1570	485
764	1572	482
765	1573	480
766	1575	478
767	1578	476
768	1580	474
769	1582	472
770	1584	470
771	1585	468
772	1587	466
773	1588	463
774	1595	463
775	1598	461
776	1601	459
777	1603	457
778	1608	456
779	1611	454
780	1615	452
781	1618	451
782	1622	449
783	1625	447
784	1629	446
785	1631	444
786	1632	441
787	1634	439
788	1636	437
789	1639	435
790	1641	433
791	1642	431
792	1644	429
793	1646	427
794	1648	424
795	1650	422
796	1652	420
797	1654	418
798	1655	416
799	1656	414
800	1658	412
801	1659	409
802	1661	407
803	1663	405
804	1664	403
805	1666	401
806	1669	399
807	1672	397
808	1674	395
809	1676	393
810	1678	391
811	1679	388
812	1681	386
813	1684	384
814	1686	382
815	1689	380
816	1690	378
817	1692	376
818	1693	374
819	1695	372
820	1698	370
821	1700	368
822	1701	366
823	1703	363
824	1705	361
825	1707	359
826	1709	357
827	1710	355
828	1712	353
829	1714	351
830	1717	349
831	1719	347
832	1723	345
833	1725	343
834	1727	341
835	1729	339
836	1731	337
837	1733	335
838	1735	332
839	1736	330
840	1738	328
841	1740	326
842	1741	324
843	1743	322
844	1744	320
845	1745	317
846	1747	315
847	1749	313
848	1750	311
849	1752	309
850	1753	307
851	1754	304
852	1755	302
853	1758	300
854	1760	298
855	1764	296
856	1765	294
857	1767	292
858	1768	290
859	1770	288
860	1771	286
861	1774	284
862	1777	282
863	1779	280
864	1781	277
865	1782	275
866	1783	273
867	1785	271
868	1786	269
869	1789	267
870	1791	265
871	1792	263
872	1793	260
873	1794	258
874	1796	256
875	1797	254
876	1800	252
877	1804	250
878	1807	248
879	1808	246
880	1810	244
881	1812	242
882	1815	240
883	1819	238
884	1822	236
885	1824	234
886	1826	232
887	1828	230
888	1829	228
889	1830	226
890	1833	224
891	1835	222
892	1837	220
893	1838	217
894	1839	215
895	1840	213
896	1841	211
897	1843	209
898	1844	207
899	1845	205
900	1847	202
901	1848	200
902	1851	198
903	1853	196
904	1855	194
905	1857	192
906	1858	190
907	1860	188
908	1863	186
909	1866	184
910	1868	182
911	1870	180
912	1871	178
913	1873	176
914	1874	174
915	1875	172
916	1877	169
917	1880	167
918	1881	165
919	1882	163
920	1883	161
921	1884	159
922	1886	157
923	1887	155
924	1889	153
925	1890	151
926	1892	149
927	1894	146
928	1896	144
929	1899	142
930	1902	141
931	1904	138
932	1906	136
933	1908	134
934	1910	132
935	1912	130
936	1913	128
937	1914	126
938	1916	124
939	1918	122
940	1919	120
941	1921	118
942	1922	116
943	1924	114
944	1925	112
945	1927	109
946	1929	107
947	1932	106
948	1934	103
949	1935	101
950	1936	99
951	1938	97
952	1940	95
953	1941	93
954	1943	91
955	1945	89
956	1946	87
957	1947	85
958	1948	83
959	1950	81
960	1951	79
961	1955	77
962	1958	75
963	1960	73
964	1961	71
965	1962	69
966	1963	67
967	1964	64
968	1965	62
969	1966	60
970	1968	58
971	1970	56
972	1971	54
973	1973	52
974	1974	50
975	1975	48
976	1976	46
977	1977	44
978	1978	42
979	1979	40
980	1981	38
981	1982	36
982	1984	34
983	1985	32
984	1987	30
985	1988	28
986	1989	26
987	1990	24
988	1991	22
989	1992	20
990	1993	18
991	1994	16
992	1996	14
993	1998	12
994	1999	10
995	2001	8
996	2002	6
997	2004	4
998	2006	2
999	2007	0
