date,current_market_queries,last_year_market_queries
"2023-04-27",69.72576703774097,51.31686125441217
"2023-04-28",65.13711648112951,46.633179473255495
"2023-04-29",62.774911756720066,45.75074667390714
"2023-04-30",71.23269074124354,61.48520228074939
"2023-05-01",86.64811295139832,64.1460765680152
"2023-05-02",78.63833831115939,61.01683410263372
"2023-05-03",76.54765137116482,59.319847950040725
"2023-05-04",68.96551724137932,55.48465924518056
"2023-05-05",63.63019277762694,53.07493890849851
"2023-05-06",57.82650013575889,48.90714091773011
"2023-05-07",74.64023893565029,62.08932935107249
"2023-05-08",86.51235405919088,66.58973662774912
"2023-05-09",79.09313060005431,64.41759435243009
"2023-05-10",76.22183002986695,61.566657616073854
"2023-05-11",70.51316861254412,58.152321477056745
"2023-05-12",62.67309258756448,52.95275590551181
